index_code,con_code,trade_date,weight
399300.SZ,600004.SH,20200123,0.118
399300.SZ,300017.SZ,20200123,0.118
399300.SZ,002252.SZ,20200123,0.118
399300.SZ,002146.SZ,20200123,0.117
399300.SZ,000423.SZ,20200123,0.116
399300.SZ,000703.SZ,20200123,0.116
399300.SZ,600362.SH,20200123,0.116
399300.SZ,601838.SH,20200123,0.116
399300.SZ,002508.SZ,20200123,0.116
399300.SZ,000656.SZ,20200123,0.113
399300.SZ,600023.SH,20200123,0.113
399300.SZ,600208.SH,20200123,0.112
399300.SZ,600170.SH,20200123,0.112
399300.SZ,601066.SH,20200123,0.112
399300.SZ,600085.SH,20200123,0.111
399300.SZ,601881.SH,20200123,0.107
399300.SZ,002739.SZ,20200123,0.107
399300.SZ,601021.SH,20200123,0.107
399300.SZ,601018.SH,20200123,0.107
399300.SZ,600369.SH,20200123,0.106
399300.SZ,603833.SH,20200123,0.106
399300.SZ,600535.SH,20200123,0.105
399300.SZ,601878.SH,20200123,0.105
399300.SZ,000630.SZ,20200123,0.104
399300.SZ,600489.SH,20200123,0.104
399300.SZ,002081.SZ,20200123,0.103
399300.SZ,000413.SZ,20200123,0.099
399300.SZ,600038.SH,20200123,0.097
399300.SZ,600482.SH,20200123,0.097
399300.SZ,000627.SZ,20200123,0.095
399300.SZ,002938.SZ,20200123,0.094
399300.SZ,600153.SH,20200123,0.09
399300.SZ,600760.SH,20200123,0.09
399300.SZ,603156.SH,20200123,0.09
399300.SZ,600297.SH,20200123,0.089
399300.SZ,002153.SZ,20200123,0.089
399300.SZ,600655.SH,20200123,0.087
399300.SZ,000671.SZ,20200123,0.086
399300.SZ,600027.SH,20200123,0.086
399300.SZ,002032.SZ,20200123,0.086
399300.SZ,600663.SH,20200123,0.084
399300.SZ,601992.SH,20200123,0.084
399300.SZ,002607.SZ,20200123,0.084
399300.SZ,000629.SZ,20200123,0.083
399300.SZ,002558.SZ,20200123,0.082
399300.SZ,000709.SZ,20200123,0.076
399300.SZ,600977.SH,20200123,0.076
399300.SZ,601238.SH,20200123,0.075
399300.SZ,601633.SH,20200123,0.075
399300.SZ,002773.SZ,20200123,0.075
399300.SZ,601360.SH,20200123,0.074
399300.SZ,600398.SH,20200123,0.073
399300.SZ,601216.SH,20200123,0.073
399300.SZ,601808.SH,20200123,0.072
399300.SZ,000723.SZ,20200123,0.071
399300.SZ,600848.SH,20200123,0.07
399300.SZ,600998.SH,20200123,0.069
399300.SZ,002010.SZ,20200123,0.069
399300.SZ,600733.SH,20200123,0.067
399300.SZ,601577.SH,20200123,0.066
399300.SZ,600188.SH,20200123,0.064
399300.SZ,600566.SH,20200123,0.063
399300.SZ,601898.SH,20200123,0.063
399300.SZ,600816.SH,20200123,0.06
399300.SZ,600233.SH,20200123,0.059
399300.SZ,002294.SZ,20200123,0.058
399300.SZ,601319.SH,20200123,0.057
399300.SZ,600372.SH,20200123,0.056
399300.SZ,002411.SZ,20200123,0.056
399300.SZ,000898.SZ,20200123,0.054
399300.SZ,601236.SH,20200123,0.054
399300.SZ,600989.SH,20200123,0.054
399300.SZ,600025.SH,20200123,0.053
399300.SZ,000415.SZ,20200123,0.048
399300.SZ,002841.SZ,20200123,0.045
399300.SZ,002468.SZ,20200123,0.043
399300.SZ,600968.SH,20200123,0.042
399300.SZ,601698.SH,20200123,0.041
399300.SZ,601212.SH,20200123,0.036
399300.SZ,601828.SH,20200123,0.035
399300.SZ,002939.SZ,20200123,0.035
399300.SZ,600390.SH,20200123,0.029
399300.SZ,603260.SH,20200123,0.029
399300.SZ,002945.SZ,20200123,0.029
399300.SZ,002958.SZ,20200123,0.027
399300.SZ,601162.SH,20200123,0.025
399300.SZ,600928.SH,20200123,0.025
399300.SZ,600299.SH,20200123,0.024
399300.SZ,601298.SH,20200123,0.024
399300.SZ,601318.SH,20200102,6.676
399300.SZ,600519.SH,20200102,4.0633
399300.SZ,600036.SH,20200102,2.8698
399300.SZ,000651.SZ,20200102,2.3384
399300.SZ,601166.SH,20200102,2.1031
399300.SZ,000333.SZ,20200102,2.0769
