ts_code,trade_date,turnover_rate,pe,pb,total_mv,circ_mv
000333.SZ,20210104,0.49374110045592967,,,1.985,1.985
000333.SZ,20210105,0.511695665396922,,,1.985,1.985
000333.SZ,20210106,0.5248912223860256,,,1.985,1.985
000333.SZ,20210107,0.6577844181486792,,,1.985,1.985
000333.SZ,20210108,0.4818847904165184,,,1.985,1.985
000333.SZ,20210111,0.498207544771357,,,1.985,1.985
000333.SZ,20210112,0.5177399453167102,,,1.985,1.985
000333.SZ,20210113,0.5005325491706532,,,1.985,1.985
000333.SZ,20210114,0.5447265910324729,,,1.985,1.985
000333.SZ,20210115,0.5208618238734943,,,1.985,1.985
000333.SZ,20210118,0.41747693507693023,,,1.985,1.985
000333.SZ,20210119,0.6159090118409932,,,1.985,1.985
000333.SZ,20210120,0.46879535499324126,,,1.985,1.985
000333.SZ,20210121,0.5958536488334855,,,1.985,1.985
000333.SZ,20210122,0.44802507249906526,,,1.985,1.985
000333.SZ,20210125,0.5493533981461064,,,1.985,1.985
000333.SZ,20210126,0.5934786149363894,,,1.985,1.985
000333.SZ,20210127,0.41237691209041044,,,1.985,1.985
000333.SZ,20210128,0.4521250176184803,,,1.985,1.985
000333.SZ,20210129,0.5422275831221328,,,1.985,1.985
000333.SZ,20210201,0.41644465533431363,,,1.985,1.985
000333.SZ,20210202,0.4592167236938444,,,1.985,1.985
000333.SZ,20210203,0.4714289079043087,,,1.985,1.985
000333.SZ,20210204,0.5309603350355921,,,1.985,1.985
000333.SZ,20210205,0.5422527732799717,,,1.985,1.985
000333.SZ,20210208,0.5491276611977115,,,1.985,1.985
000333.SZ,20210209,0.781454590622083,,,1.985,1.985
000333.SZ,20210210,0.7809840789069294,,,1.985,1.985
000333.SZ,20210218,1.368221705043362,,,1.985,1.985
000333.SZ,20210219,1.0095154598689424,,,1.985,1.985
000333.SZ,20210222,1.3148883572810752,,,1.985,1.985
000333.SZ,20210223,0.8796437521764382,,,1.985,1.985
000333.SZ,20210224,1.459703196659975,,,1.985,1.985
000333.SZ,20210225,0.6056291511065096,,,1.985,1.985
000333.SZ,20210226,0.8743604378254565,,,1.985,1.985
000333.SZ,20210301,0.5394092781508509,,,1.985,1.985
000333.SZ,20210302,0.6885789667798816,,,1.985,1.985
000333.SZ,20210303,0.4808607186364768,,,1.985,1.985
000333.SZ,20210304,0.6492334981319954,,,1.985,1.985
000333.SZ,20210305,0.5956173585568201,,,1.985,1.985
000333.SZ,20210308,0.7102446748900649,,,1.985,1.985
000333.SZ,20210309,0.8275827101906738,,,1.985,1.985
000333.SZ,20210310,0.6882435923621864,,,1.985,1.985
000333.SZ,20210311,0.5936236865890276,,,1.985,1.985
000333.SZ,20210312,0.47075664975830317,,,1.985,1.985
000333.SZ,20210315,0.713474419114254,,,1.985,1.985
000333.SZ,20210316,0.5080160246554227,,,1.985,1.985
000333.SZ,20210317,0.539566747181773,,,1.985,1.985
000333.SZ,20210318,0.5047792695248136,,,1.985,1.985
000333.SZ,20210319,0.44406070356436617,,,1.985,1.985
000333.SZ,20210322,0.4568621532331667,,,1.985,1.985
000333.SZ,20210323,0.5377393878778972,,,1.985,1.985
000333.SZ,20210324,0.3423527132186537,,,1.985,1.985
000333.SZ,20210325,0.3600359792095666,,,1.985,1.985
000333.SZ,20210326,0.4521164823137357,,,1.985,1.985
000333.SZ,20210329,0.42841473134281,,,1.985,1.985
000333.SZ,20210330,0.5119583795172369,,,1.985,1.985
000333.SZ,20210331,0.39785451025731455,,,1.985,1.985
000333.SZ,20210401,0.5120654340219095,,,1.985,1.985
000333.SZ,20210402,0.424036754828762,,,1.985,1.985
000333.SZ,20210406,0.3747902572253551,,,1.985,1.985
000333.SZ,20210407,0.43603570298509,,,1.985,1.985
000333.SZ,20210408,0.26489307727200445,,,1.985,1.985
000333.SZ,20210409,0.4689242722745209,,,1.985,1.985
000333.SZ,20210412,0.36767239811868935,,,1.985,1.985
