trade_date,factor,ic,rank_ic
2021-03-03,factor_reversal_5d,0.06663794312193111,0.051988899167437555
2021-03-04,factor_reversal_5d,-0.016596967925740683,-0.09096515572001233
2021-03-05,factor_reversal_5d,-0.056160371667567335,-0.09084181313598519
2021-03-08,factor_reversal_5d,-0.00018178074930703253,-0.06987357385137218
2021-03-09,factor_reversal_5d,-0.12343132093953929,-0.11366019118100523
2021-03-10,factor_reversal_5d,-0.1666569261490587,-0.15720497093415872
2021-03-11,factor_reversal_5d,-0.1478070378078979,-0.20098674067221708
2021-03-12,factor_reversal_5d,-0.2024242206312437,-0.19876657415972862
2021-03-15,factor_reversal_5d,-0.13414347034458457,-0.06827012025901943
2021-03-16,factor_reversal_5d,-0.10447295494351516,-0.13672525439407954
2021-03-17,factor_reversal_5d,0.015876408324729946,-0.1486894850447117
2021-03-18,factor_reversal_5d,0.13341810963521672,0.1345050878815911
2021-03-19,factor_reversal_5d,0.16189421836380458,0.17927844588344127
2021-03-22,factor_reversal_5d,0.17345833577361375,0.18199198273203823
2021-03-23,factor_reversal_5d,0.002705130141136061,0.013012642614862782
2021-03-24,factor_reversal_5d,-0.10202165726645564,-0.013012642614862782
2021-03-25,factor_reversal_5d,0.19337405353865014,0.19198273203823618
2021-03-26,factor_reversal_5d,0.2620177758334117,0.16349059512796793
2021-03-29,factor_reversal_5d,0.12975382346814443,0.1702744372494604
2021-03-30,factor_reversal_5d,-0.06804989393507238,0.008325624421831636
2021-03-31,factor_reversal_5d,0.05242055831088503,0.008168642951251647
2021-04-01,factor_reversal_5d,-0.1641377040108301,-0.150786308973173
2021-04-02,factor_reversal_5d,-0.08858597464735725,-0.04557508479802652
2021-04-06,factor_reversal_5d,-0.3326377444450256,-0.2426765340733888
2021-04-07,factor_reversal_5d,-0.38206848168933005,-0.2732542819499341
2021-04-08,factor_reversal_5d,-0.37365116886269323,-0.4492753623188405
2021-04-09,factor_reversal_5d,-0.02031452379562288,-0.13043478260869562
2021-04-12,factor_reversal_5d,0.10143838392236273,-0.00592885375494071
2021-04-13,factor_reversal_5d,0.17439792923967126,0.0670619235836627
2021-04-14,factor_reversal_5d,0.046088831089015625,0.07944664031620552
2021-04-15,factor_reversal_5d,0.1346265001617694,0.25704874835309616
2021-04-16,factor_reversal_5d,-0.31394221653861454,0.07127799736495387
2021-04-19,factor_reversal_5d,-0.4009086736371619,-0.15783926218708827
2021-04-20,factor_reversal_5d,-0.45082457973330325,-0.1131752305665349
2021-04-21,factor_reversal_5d,-0.3249115287525913,-0.1683009559050262
2021-04-22,factor_reversal_5d,-0.40124244556989747,-0.22244835029293863
2021-04-23,factor_reversal_5d,-0.09947222924401318,-0.09133518347209374
2021-04-26,factor_reversal_5d,0.025261130794048826,0.05827937095282146
2021-04-27,factor_reversal_5d,0.2597751696593163,0.09898242368177614
2021-04-28,factor_reversal_5d,0.06026050881167963,0.04680851063829787
2021-04-29,factor_reversal_5d,-0.00682136628562658,-0.1345050878815911
2021-04-30,factor_reversal_5d,0.04453585060869754,-0.007832254085723096
2021-05-06,factor_reversal_5d,0.18347635626416925,0.1470860314523589
2021-05-07,factor_reversal_5d,0.2002419261365848,0.22701202590194264
2021-05-10,factor_reversal_5d,0.4454215181480542,0.35121800801726794
2021-05-11,factor_reversal_5d,0.2678110936635285,0.275609004008634
2021-05-12,factor_reversal_5d,0.15836133617423853,0.11501695960530373
2021-05-13,factor_reversal_5d,-0.14456582965211015,-0.11514030218933086
2021-05-14,factor_reversal_5d,-0.0762805141686898,-0.22577860006167125
2021-05-17,factor_reversal_5d,-0.11267501023588232,-0.2748689485044712
2021-05-18,factor_reversal_5d,-0.10173451362302806,-0.26228800493370336
2021-05-19,factor_reversal_5d,-0.00032339508416316665,-0.10169909653606424
2021-05-20,factor_reversal_5d,-0.10178943370425494,-0.1633672525439408
2021-05-21,factor_reversal_5d,-0.17635054098471678,-0.1135368485969781
2021-05-24,factor_reversal_5d,-0.2692894862752816,-0.20049337033610853
2021-05-25,factor_reversal_5d,0.09251903112306795,0.1526552777913538
2021-05-26,factor_reversal_5d,0.0939992020506654,0.25217391304347825
2021-05-27,factor_reversal_5d,0.19416726229521408,0.05593586185630588
2021-05-28,factor_reversal_5d,0.14119854138205845,0.09947579401788467
2021-05-31,factor_reversal_5d,-0.11355883793699513,-0.14400246685168056
2021-06-01,factor_reversal_5d,-0.17234155071314297,-0.2810360777058279
2021-06-02,factor_reversal_5d,-0.14023090923558829,-0.22177680481727532
2021-06-03,factor_reversal_5d,-0.14788395959696676,-0.22936260765168154
2021-06-04,factor_reversal_5d,-0.10536945559373208,-0.22072155411655872
2021-06-07,factor_reversal_5d,0.001017555949965221,0.1366019118100524
2021-06-08,factor_reversal_5d,0.03342718609061099,0.14757940178846746
2021-06-09,factor_reversal_5d,-0.08887393355842983,-0.17009466843327178
2021-06-10,factor_reversal_5d,-0.2016563280377766,-0.17175454825778602
2021-06-11,factor_reversal_5d,-0.335321415173805,-0.4057354301572618
2021-06-15,factor_reversal_5d,-0.32167103970352035,-0.29793401171754547
2021-06-16,factor_reversal_5d,-0.22466814095740079,-0.18432147562582346
2021-06-17,factor_reversal_5d,-0.183894483897792,-0.13069828722002635
2021-06-18,factor_reversal_5d,-0.13999641929403311,-0.20342555994729905
2021-06-21,factor_reversal_5d,-0.17450249723260627,-0.280764163372859
2021-06-22,factor_reversal_5d,-0.01720177366678896,-0.1450592885375494
2021-06-23,factor_reversal_5d,-0.06853559525236327,-0.15942028985507245
2021-06-24,factor_reversal_5d,0.12732421326615495,-0.0057971014492753615
2021-06-25,factor_reversal_5d,-0.06706885751329676,-0.08129117259552042
2021-06-28,factor_reversal_5d,0.092696513340708,0.19183135704874835
2021-06-29,factor_reversal_5d,0.13830745775804534,0.13070259238290513
2021-06-30,factor_reversal_5d,0.11133573199399985,0.18004545614036277
2021-07-01,factor_reversal_5d,0.24518261476505968,0.3565217391304347
2021-07-02,factor_reversal_5d,0.20508317449912095,0.18972332015810273
2021-07-05,factor_reversal_5d,-0.08923743322318926,-0.17233201581027663
2021-07-06,factor_reversal_5d,0.04869447167119195,0.0904717853839038
2021-07-07,factor_reversal_5d,-0.015325069461367836,0.017638533419838915
2021-07-08,factor_reversal_5d,-0.29595428352506403,-0.36996608078939247
2021-07-09,factor_reversal_5d,-0.3897441036482174,-0.49429540548874495
2021-07-12,factor_reversal_5d,-0.14612250721206577,-0.19148936170212763
2021-07-13,factor_reversal_5d,-0.2904396090942511,-0.3724329324699353
2021-07-14,factor_reversal_5d,0.023195831994380064,0.017515187032287594
2021-07-15,factor_reversal_5d,-0.0729829141143897,-0.0012950971322849213
2021-07-16,factor_reversal_5d,-0.05587228167550016,-0.016096207215541166
2021-07-19,factor_reversal_5d,0.06871985635301392,0.21283419171980456
2021-07-20,factor_reversal_5d,-0.11015063422529549,0.13598519888991673
2021-07-21,factor_reversal_5d,-0.3470731147808386,-0.18643231575701508
2021-07-22,factor_reversal_5d,-0.5005310269726454,-0.4098057354301573
2021-07-23,factor_reversal_5d,-0.47107333388352784,-0.3665124884366327
2021-07-26,factor_reversal_5d,-0.573068485184696,-0.4302806043786617
2021-07-27,factor_reversal_5d,-0.35495526707517433,-0.28596978106691334
2021-07-28,factor_reversal_5d,-0.21358868820921495,-0.209127351218008
2021-07-29,factor_reversal_5d,-0.2570088055011588,-0.3208757323465926
2021-07-30,factor_reversal_5d,-0.20239537577705807,-0.0929386370644465
2021-08-02,factor_reversal_5d,0.10244646012850818,0.16558741905642924
