trade_date,window,factor,weight
2022-07-21,120,factor_momentum,0.0
2022-07-22,120,factor_momentum,0.0
2022-07-25,120,factor_momentum,0.0
2022-07-26,120,factor_momentum,0.0
2022-07-27,120,factor_momentum,0.0
2022-07-28,120,factor_momentum,0.0
2022-07-29,120,factor_momentum,0.0
2022-08-01,120,factor_momentum,0.0
2022-08-02,120,factor_momentum,0.0
2022-08-03,120,factor_momentum,0.0
2022-08-04,120,factor_momentum,0.0
2022-08-05,120,factor_momentum,0.0
2022-08-08,120,factor_momentum,0.0
2022-08-09,120,factor_momentum,0.0
2022-08-10,120,factor_momentum,0.0
2022-08-11,120,factor_momentum,0.0
2022-08-12,120,factor_momentum,0.0
2022-08-15,120,factor_momentum,0.0
2022-08-16,120,factor_momentum,0.0
2022-08-17,120,factor_momentum,0.0
